,X,Y,Z,Nphi
225,335345.2092357288,4263043.181,-53.55853882162165,2.3735357975870777
226,335345.5440950058,4263043.17,-51.316710506606626,2.697395005769922
227,335345.30470272014,4263043.159,-49.074882191591655,2.4473027201412445
228,335345.4582119057,4263043.1522706915,-46.83305387657663,2.5925119056237977
229,335344.8051734499,4263043.174,-44.5912255615616,1.943876121973578
230,335347.09007717506,4263043.194706033,-42.34939724654657,4.233677175043618
231,335347.04424737254,4263043.215707939,-40.107568931531546,4.192147372525552
232,335347.5525681983,4263043.237,-37.86574061651652,4.705368198280041
233,335345.1271524887,4263043.258,-35.62391230150149,2.2843524886887545
234,335344.749897955,4263043.279,-33.38208398648658,1.9119979550107449
235,335345.59869510174,4263043.300110665,-31.14025567147155,2.7651951017249305
236,335345.71472915425,4263043.321,-28.898427356456523,2.8861056051222094
237,335346.61658152635,4263043.342,-26.656599041441496,3.7923815263809044
238,335348.9326429559,4263043.363661306,-24.414770726426468,6.113173608943732
239,335345.33938739885,4263043.38451224,-22.17294241141144,2.524487398829604
240,335346.76013188984,4263043.405569123,-19.931114096396414,3.94985953880184
241,335346.10741856415,4263043.427,-17.689285781381386,3.3017185641329974
242,335346.2521821909,4263043.448,-15.447457466366359,3.450913421521552
243,335346.41674233135,4263043.469,-13.205629151351445,3.6203423313759786
244,335345.0983848138,4263043.49,-10.963800836336418,2.3063848137997947
245,335357.5833663416,4263043.511,-8.72197252132139,14.796266341600745
246,335357.012711762,4263043.532,-6.480144206306363,14.230011762003228
247,335344.5831702993,4263043.553,-4.238315891291336,1.8053702993492893
248,335343.95338366146,4263043.574,-1.9964875762763086,1.1799836614310741
249,335344.39204974176,4263043.595,0.24534073873871876,1.623449741773348
250,335343.8406973125,4263043.616865528,2.487169053753746,1.0764973125197366
251,335343.2387266205,4263043.637317048,4.728997368768773,0.47942662052832713
252,335344.5611128063,4263043.658816658,6.970825683783687,1.806212806304255
253,335343.0838895936,4263043.68,9.212653998798714,0.33359810283935004
254,335345.3235035923,4263043.701,11.454482313813742,2.577903592250592
255,335342.7412,4263043.722,13.696310628828769,0.0
256,335343.33689493063,4263043.743,15.938138943843796,0.6005949306175729
257,335344.5287395905,4263043.7639999995,18.179967258858824,1.7968395904641263
258,335346.07444781665,4263043.785,20.42179557387385,3.347347816601063
259,335345.8609159951,4263043.806521168,22.66362388888888,3.1382159951174806
260,335346.1053159912,4263043.827368753,24.905452203903906,3.3875159912311372
261,335346.06839591917,4263043.848930156,27.14728051891882,3.3549959191744096
262,335346.0841086694,4263043.87,29.389108833933847,3.3756086694441994
263,335346.29837555427,4263043.890922472,31.630937148948874,3.594275554264756
264,335345.7231033382,4263043.912,33.8727654639639,3.023903338267004
265,335346.63073523453,4263043.933,36.11459377897893,3.935935234560437
266,335346.66773327807,4263043.959,38.356422093993956,3.951194525486404
267,335347.06037863845,4263043.9860000005,40.59825040900898,4.319634735762117
268,335346.5673508816,4263044.012183142,42.84007872402401,3.8021593105108296
269,335347.0138760861,4263044.039,45.08190703903904,4.2247390411863
270,335347.41331715864,4263044.067,47.32373535405395,4.586851219086277
271,335348.43107517867,4263044.097,49.56556366906898,5.5568153098985995
272,335348.30300295167,4263044.12694338,51.807391984084006,5.380659572777499
273,335349.1373970428,4263044.156268665,54.049220299099034,6.167062710474126
274,335350.2534432106,4263044.186348201,56.29104861411406,7.233920909974086
275,335349.6313317202,4263044.2142118225,58.53287692912909,6.557419897276476
276,335349.34537952597,4263044.242,60.774705244144116,6.217336378065635
277,335349.55657767947,4263044.27,63.01653355915914,6.37405855984674
278,335348.2492730036,4263044.298,65.25836187417417,5.012665603985737
279,335353.38937129325,4263044.318,67.50019018918908,10.108071293259947
280,335349.6898308255,4263044.338,69.74201850420411,6.364107082706647
281,335346.80612466246,4263044.358,71.98384681921914,3.4356415400489615
282,335346.9334503893,4263044.3780000005,74.22567513423417,3.5186322416458307
283,335346.8437839505,4263044.387,76.4675034492492,3.3885976223358862
284,335347.3015094172,4263044.391,78.70933176426422,3.8078573616232902
285,335346.4806946403,4263044.395,80.95116007927925,2.94911365406517
286,335348.0234498679,4263044.398,83.19298839429428,4.453182581060814
287,335349.65897030494,4263044.396483526,85.4348167093093,6.0481054775264536
288,335353.50042528065,4263044.381,87.67664502432422,9.843787234961212
289,335349.9593448374,4263044.365706284,89.91847333933924,6.257097979107116
290,335348.3773882746,4263044.35,92.16030165435427,4.629308167952891
291,335348.9930377994,4263044.335,94.4021299693693,5.199169502140006
292,335348.86632178794,4263044.309184065,96.64395828438433,5.018479479157928
293,335348.1614239129,4263044.282068607,98.88578659939935,4.25868565954434
294,335348.97779768566,4263044.256,101.12761491441438,5.020250675848226
295,335348.95445473655,4263044.228999999,103.36944322942941,4.94175867139575
296,335349.5916806533,4263044.206722344,105.61127154444443,5.518991936194374
297,335352.2695277497,4263044.1857605055,107.85309985945946,8.134512203840389
298,335349.7743197016,4263044.164,110.09492817447438,5.576998765569709
299,335350.2174822584,4263044.143122967,112.3367564894894,5.957366708747217
