xloc,yloc,zloc,phase,date_clock,tsec,t0_loc,eigval_max,eigval_mid,eigval_min,eigvec_max_e,eigvec_max_n,eigvec_max_u,eigvec_mid_e,eigvec_mid_n,eigvec_mid_u,mom,fc_p,fc_s,rad,sd,mw,energy,src_nrcv,src_misfit,mom_sdev,fc_sdev,snr_loc,orthogonality,distance_rcv,noise_level_acc
335268.6,4263083,379.5,2,28:04:19:09:38:32,639512,0.955,119.15,63.88,29.84,0.81176,-0.27353,-0.51598,0.27016,0.95919,-0.08345,1.93E+06,165.8,104.7,6.48,3099.955,-1.809,1.07E-01,9,0.2581,8.97E+05,30.4,3,0.735,1364.2,2.43E-06
335380.1,4263077.4,395.1,2,28:04:19:09:39:22,639562,0.696,84.22,50.58,16.85,0.58936,-0.7223,-0.36186,0.67902,0.68557,-0.26253,9.54E+06,148.3,121,6.31,16602.163,-1.347,2.94E+00,11,0.3272,2.22E+06,13.7,7.6,0.804,1340.8,2.60E-06
335348.6,4263110.9,378.8,2,28:04:19:09:40:47,639647,0.5465,63.46,37.47,18.27,0.68269,-0.57954,-0.44505,0.54967,0.80861,-0.2098,9.84E+06,160.6,115.2,6.24,17705.385,-1.338,3.18E+00,11,0.3254,2.61E+06,22.7,8.4,0.842,1337.7,2.82E-06
335491.2,4263078,465.2,2,28:04:19:09:42:34,639754,0.6875,63.51,10.47,9.6,0.90098,-0.2825,-0.32928,0.25112,0.95847,-0.13518,8.88E+06,240.6,173.8,4.13,55138.978,-1.368,8.91E+00,11,0.3408,2.33E+06,33.4,6.6,0.866,1380.3,2.32E-06
335385.7,4263057.8,448.4,2,28:04:19:09:42:59,639779,0.885,22.97,19.58,17.08,0.49068,-0.6951,-0.52543,-0.26679,0.4542,-0.85001,1.56E+08,208.3,129.8,5.12,511484.43,-0.537,1.47E+03,11,0.3597,5.92E+07,39.2,16.5,0.866,1389.1,3.83E-06
335537.4,4263023.6,499.1,2,28:04:19:09:43:50,639830,0.7541,74.84,44.12,10.69,0.94732,-0.12654,-0.29423,0.13039,0.99144,-0.00657,3.38E+06,139.5,133.1,6.07,6596.357,-1.648,4.40E-01,11,0.3351,1.48E+06,3.2,4.5,0.619,1402.4,2.07E-06
335298.1,4263131.6,343.8,2,28:04:19:09:44:20,639860,0.926,79.02,69.89,19.15,0.62498,-0.62369,-0.46948,0.59158,0.77079,-0.23645,9.61E+06,156.1,112.8,6.45,15709.902,-1.345,2.70E+00,11,0.3257,2.70E+06,21.7,7.3,0.847,1324.4,2.38E-06
335320.7,4263090.2,470.1,2,28:04:19:09:47:22,640042,0.75,75.56,56.09,35.6,0.47573,-0.82165,-0.31395,0.75063,0.5653,-0.34204,3.19E+06,141.5,112.5,6.69,4657.493,-1.664,2.75E-01,11,0.3125,1.20E+06,14.5,4.5,0.8,1431.3,2.50E-06
335262.2,4263019.5,282.3,2,28:04:19:09:54:03,640443,0.8434,63.09,43.83,9.99,0.85708,-0.0413,-0.51353,0.04945,0.99877,0.00221,2.40E+06,123.5,91.4,7.98,2070.197,-1.746,9.06E-02,9,0.277,1.80E+06,16,3.1,0.815,1274.7,2.03E-06
335206.5,4263078.6,301.5,2,28:04:19:09:55:36,640536,0.6669,77.08,67.94,9.87,0.83165,-0.09566,-0.547,0.1208,0.99263,0.01008,3.48E+06,146.8,100.5,6.98,4482.59,-1.639,2.84E-01,11,0.2891,7.72E+05,23.2,2.5,0.706,1318,2.09E-06
