,X,Y,Z,Temperature
519,335536.1030469681,4263051.209940931,773.6761094189189,154.1948174337094
520,335536.13216010807,4263051.181,775.9179377339337,154.20840664752467
521,335536.0248100716,4263051.152,778.1597660489488,154.08531976941478
522,335535.7737854399,4263051.1227691565,780.4015943639638,153.81907001828347
523,335534.9859628852,4263051.093527094,782.6434226789788,153.01576288521906
524,335534.7390020321,4263051.064674051,784.8852509939938,152.753202032084
525,335534.2858922903,4263051.035,787.1270793090089,152.2847662724142
526,335533.5223905078,4263051.006,789.3689076240239,151.50577306044315
527,335532.93870193925,4263050.977122136,791.6107359390389,150.90656300763877
528,335532.0136305893,4263050.948,793.852564254054,149.96585074099994
529,335530.76569153304,4263050.9184064455,796.094392569069,148.70239475582224
530,335530.2765076434,4263050.889552329,798.336220884084,148.19790764340686
531,335529.64121107676,4263050.860734927,800.578049199099,147.5470110767851
532,335529.1914303508,4263050.83177344,802.8198775141141,147.08191707136712
533,335528.7552413779,4263050.802,805.0617058291291,146.63023832916295
534,335528.4722535481,4263050.773,807.3035341441441,146.33165354809904
535,335528.34062228055,4263050.744,809.5453624591592,146.1843919733318
536,335528.2485054707,4263050.715,811.7871907741742,146.07682112105365
537,335528.1754108457,4263050.685626885,814.0290190891892,145.98841084573706
538,335528.11008682963,4263050.656724586,816.270847404204,145.90748682959045
539,335528.0936657347,4263050.627,818.512675719219,145.87577533813274
540,335528.0402252197,4263050.598042533,820.7545040342341,145.80682521968177
541,335527.9400771119,4263050.569187887,822.9963323492491,145.69117105514488
542,335527.8219579474,4263050.54019453,825.2381606642641,145.557435759305
543,335527.627507628,4263050.511,827.4799889792791,145.3474633313337
544,335527.5518077428,4263050.481604824,829.7218172942942,145.25640774278548
545,335527.5230599091,4263050.452750465,831.9636456093092,145.212059909107
546,335527.4633122832,4263050.423859192,834.2054739243242,145.13704187945936
547,335526.9468028721,4263050.395,836.4473022393393,144.60502448401058
548,335526.5701526511,4263050.368222471,838.6891305543543,144.222841415294
549,335526.38904282835,4263050.352290443,840.9309588693693,144.06709760685368
550,335526.2436579434,4263050.336,843.1727871843843,143.94701585634482
551,335525.81155533146,4263050.32,845.4146154993994,143.54073951468857
552,335525.6260290289,4263050.304,847.6564438144144,143.38053001637107
553,335525.0612529578,4263050.288,849.8982721294294,142.8411173378757
554,335524.71755589405,4263050.272,852.1401004444444,142.52271894655163
555,335524.06196089875,4263050.256,854.3819287594595,141.89242799819675
556,335523.40903516783,4263050.24,856.6237570744743,141.26516679495097
557,335522.82072883385,4263050.223999999,858.8655853894893,140.70227197442006
558,335522.0517389382,4263050.208000001,861.1074137045043,139.9586081720396
559,335521.1106032565,4263050.191745141,863.3492420195194,139.04283068630306
560,335520.69050876633,4263050.175943512,865.5910703345344,138.64803701059108
561,335520.35254152195,4263050.159126569,867.8328986495494,138.33587823754996
562,335520.02451968123,4263050.143310581,870.0747269645644,138.03316439056363
563,335519.7330002729,4263050.127,872.3165552795795,137.76702599215028
564,335519.5141084223,4263050.1110000005,874.5583835945945,137.5734364789345
565,335519.26308491686,4263050.095,876.8002119096095,137.3478274329989
566,335519.06740803836,4263050.079,879.0420402246245,137.17784639751983
567,335518.8124224708,4263050.063,881.2838685396396,136.94813224460628
568,335518.5236767134,4263050.047,883.5256968546546,136.6847107898951
569,335518.2983878725,4263050.031,885.7675251696696,136.4847095725528
570,335518.0461206866,4263050.015,888.0093534846847,136.25782251425733
571,335517.87628486776,4263049.999,890.2511817996997,136.1134047967822
572,335517.7096806123,4263049.982720149,892.4930101147147,135.97252053789833
573,335517.5934615316,4263049.966961309,894.7348384297297,135.8815808768591
574,335517.49777030485,4263049.950013788,896.9766667447448,135.8112634106105
575,335517.40543991193,4263049.934160363,899.2184950597596,135.74425973012652
576,335517.3049348191,4263049.9180000005,901.4603233747746,135.6692348191447
577,335517.21205369744,4263049.902217451,903.7021516897896,135.60156671711684
578,335517.079732931,4263049.886,905.9439800048046,135.4949318138907
579,335516.92892423924,4263049.87,908.1858083198197,135.36944910725083
580,335516.72487107554,4263049.853999999,910.4276366348347,135.19067107556944
581,335516.56439284986,4263049.838,912.6694649498497,135.05557057491978
582,335516.4094899558,4263049.822,914.9112932648648,134.92639902651652
583,335516.2575399407,4263049.806,917.1531215798798,134.7995399406986
584,335516.11039311154,4263049.79,919.3949498948948,134.67805065635318
