,X,Y,Z,Pressure
30,335727.76412403426,4263050.457180492,-322.57793662342345,388.0592947728792
31,335727.42950287944,4263050.397570438,-320.3361083084084,387.65538809843304
32,335727.07560462656,4263050.338242732,-318.09427999339346,387.232047358277
33,335726.7290800087,4263050.279034944,-315.85245167837843,386.81625621690694
34,335726.38524246315,4263050.219628985,-313.6106233633634,386.4031004332095
35,335726.02781965263,4263050.16,-311.3687950483484,385.97609003260425
36,335725.68375556683,4263050.100703841,-309.12696673333335,385.5629334475766
37,335725.324274014,4263050.040965861,-306.8851384183183,385.1338228049375
38,335724.9841566721,4263049.981423286,-304.6433101033033,384.7245683147234
39,335724.6414460185,4263049.922189454,-302.4014817882883,384.3126301980726
40,335724.29283615603,4263049.862602478,-300.1596534732733,383.89435789044114
41,335723.9406032922,4263049.803619447,-297.91782515825827,383.4729227398178
42,335723.58764432964,4263049.743865392,-295.6759968432433,383.05040972216375
43,335723.235122877,4263049.684638821,-293.43416852822827,382.6286172265871
44,335722.8738282818,4263049.624750677,-291.19234021321324,382.19815429666556
45,335722.5258416746,4263049.542825629,-288.9505118981982,381.8099544888845
46,335722.12283810537,4263049.452907146,-286.7086835831832,381.3777381053444
47,335721.73472017975,4263049.362134589,-284.4668552681682,380.9608874741681
48,335721.3398156862,4263049.271392535,-282.2250269531532,380.53681195340386
49,335720.9510348723,4263049.180528105,-279.98319863813816,380.1192989249489
50,335720.56018631835,4263049.08983981,-277.74137032312314,379.69955428024116
51,335720.17170089926,4263048.9994183,-275.49954200810816,379.2822682191861
52,335719.78127231204,4263048.90928176,-273.25771369309314,378.8626286641471
53,335719.3847474076,4263048.818160782,-271.0158853780781,378.43744740759075
54,335719.00541151577,4263048.728,-268.7740570630631,378.0291033908712
55,335718.6023773083,4263048.636954828,-266.53222874804806,377.59696601529424
56,335718.21293519996,4263048.546316249,-264.2904004330331,377.1788142623248
57,335717.82626915496,4263048.456084287,-262.04857211801806,376.7632902266127
58,335717.43476810044,4263048.365623176,-259.80674380300303,376.3426238944682
59,335717.03244950966,4263048.274844603,-257.564915487988,375.9115606602035
60,335716.6450449408,4263048.184642373,-255.32308717297303,375.4950555340738
61,335716.2689392745,4263048.093291657,-253.081258857958,375.09006218868836
62,335715.8735011826,4263048.00351292,-250.83943054294298,374.6658794125681
63,335715.481902801,4263047.919747686,-248.59760222792795,374.2538397224602
64,335715.0601015414,4263047.838972219,-246.35577391291292,373.8155015414049
65,335714.6825890924,4263047.75824072,-244.11394559789795,373.42188909242634
66,335714.26664352766,4263047.677387484,-241.87211728288293,372.9894985213808
67,335713.8624549885,4263047.59754773,-239.6302889678679,372.56895498848064
68,335713.45897197624,4263047.516965149,-237.38846065285287,372.14911326338245
69,335713.0666576778,4263047.43621153,-235.1466323378379,371.74045767782167
70,335712.6631153533,4263047.355668482,-232.90480402282287,371.32064959408405
71,335712.24494574266,4263047.275,-230.66297570780785,370.8860457426504
72,335711.8506152471,4263047.194937823,-228.42114739279282,370.4755997027791
73,335711.4482828846,4263047.114183396,-226.1793190777778,370.05672873356286
74,335711.04583507235,4263047.033335939,-223.93749076276282,369.6381350723717
75,335710.63357171294,4263046.952667848,-221.6956624477478,369.2094386750273
76,335710.2320334526,4263046.872727938,-219.45383413273277,368.79163345256495
77,335709.83601354517,4263046.792156938,-217.21200581771774,368.3793027797164
78,335709.42398537364,4263046.71092576,-214.9701775027027,367.9508853736511
79,335709.01495203027,4263046.631,-212.72834918768774,367.52565203024915
80,335708.61201240297,4263046.550888152,-210.4865208726727,367.1061124029615
81,335708.221460572,4263046.47010664,-208.2446925576577,366.6994605720058
82,335707.8082125379,4263046.389155984,-206.00286424264266,366.2696515339326
83,335707.40052354574,4263046.308613333,-203.7610359276277,365.8459768788607
84,335706.9959748352,4263046.228429771,-201.51920761261266,365.42488972071357
85,335706.60659281426,4263046.147914089,-199.27737929759763,365.0191928142243
86,335706.19974729215,4263046.067342812,-197.0355509825826,364.5960829951173
87,335705.7883683047,4263045.986584143,-194.79372266756758,364.16826830471837
88,335705.40111323167,4263045.905917519,-192.5518943525526,363.76487199093657
89,335704.9944995612,4263045.825077197,-190.31006603753758,363.34171886045124
90,335704.5883568865,4263045.745319112,-188.06823772252255,362.9195207089386
91,335704.1731110001,4263045.664488859,-185.82640940750753,362.4878065434969
92,335703.77426641615,4263045.583570366,-183.58458109249256,362.07256641616806
93,335703.36695267825,4263045.503048595,-181.34275277747753,361.648914827082
94,335702.9513821557,4263045.423289922,-179.1009244624625,361.21730463633105
95,335702.54648282204,4263045.34246382,-176.85909614744747,360.7958487770225
96,335702.1387431478,4263045.262,-174.61726783243245,360.3718183828839
97,335701.74503963726,4263045.181018397,-172.37543951741748,359.9618396372618
98,335701.33340232645,4263045.101130992,-170.13361120240245,359.5341023264476
99,335700.91394455975,4263045.020369455,-167.89178288738742,359.09804455976723
100,335700.52006224036,4263044.939751329,-165.6499545723724,358.6877500725994
101,335700.122331999,4263044.864444922,-163.40812625735737,358.2714544600013
102,335699.72329843964,4263044.808632682,-161.1662979423424,357.84371478096045
103,335699.32303733466,4263044.752952507,-158.92446962732737,357.415313587804
104,335698.9469142275,4263044.6977651315,-156.68264131231234,357.01041422750825
105,335698.5361147272,4263044.642072047,-154.44081299729731,356.57132913667846
106,335698.1395588761,4263044.587,-152.19898468228234,356.1459878073359
107,335697.7456279375,4263044.53125278,-149.95715636726732,355.72375432755723
108,335697.340893058,4263044.475878469,-147.7153280522523,355.29053229247415
109,335696.9591527255,4263044.420572999,-145.47349973723726,354.88033922502274
110,335696.57237111364,4263044.365,-143.23167142222223,354.46497111364965
111,335696.1675856082,4263044.309834573,-140.98984310720726,354.03180289521663
112,335695.76127256174,4263044.253976123,-138.74801479219224,353.597151072993
113,335695.3778520997,4263044.199,-136.5061864771772,353.18500959766067
114,335694.97931378655,4263044.143242824,-134.26435816216218,352.7582351987581
115,335694.5751634428,4263044.087754213,-132.0225298471472,352.3253519960707
116,335694.1892638177,4263044.032,-129.78070153213218,351.9109638176983
117,335693.7930228517,4263043.976853234,-127.53887321711716,351.4863494685913
